year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,6.45,6.22,5.40,9.76,12.06,14.30,19.10,17.80,16.03,12.12,8.34,8.75
1901,4.34,3.30,5.60,10.56,12.30,15.52,18.18,18.50,16.05,10.92,6.64,5.48
1902,5.63,3.47,8.77,9.73,10.16,14.54,17.27,17.03,15.38,11.04,7.32,5.30
1903,5.82,6.88,8.16,8.28,12.05,13.53,16.15,16.33,15.17,11.97,7.82,4.38
1904,4.62,4.67,5.95,10.05,12.80,14.35,18.80,17.57,14.93,12.15,7.25,6.52
1905,4.67,6.47,8.22,9.64,11.60,15.22,18.28,16.90,14.37,9.26,6.54,5.02
1906,6.76,5.22,6.88,8.38,11.70,15.48,17.52,18.83,15.42,13.05,8.60,5.70
1907,5.85,5.10,8.30,9.35,12.85,14.65,16.35,17.00,16.95,11.85,9.70,8.10
1908,5.05,7.20,7.30,8.35,13.80,15.80,17.10,16.65,14.90,13.95,9.75,7.00
1909,5.85,4.80,5.90,10.95,13.00,13.45,15.60,17.45,14.60,13.00,6.75,6.40
1910,6.05,7.95,7.40,8.75,11.50,15.25,15.35,16.65,14.50,11.65,7.90,8.35
1911,4.80,6.10,7.15,8.50,13.25,15.65,19.15,19.90,17.85,12.20,8.55,8.60
1912,7.05,8.15,9.25,10.45,14.10,14.85,16.55,14.40,12.95,11.35,8.80,9.15
1913,7.85,6.85,9.10,9.45,12.50,14.60,16.30,17.10,16.30,13.20,10.60,7.15
1914,4.50,8.20,8.75,11.40,12.25,14.65,16.60,17.70,16.50,12.15,8.50,7.60
1915,6.80,7.20,7.60,9.50,13.60,16.30,16.10,17.30,17.00,12.50,6.80,9.20
1916,9.50,7.30,6.90,10.20,13.90,13.50,16.70,18.80,15.50,13.50,9.20,6.80
1917,3.87,4.37,6.70,7.93,14.40,16.77,17.50,16.57,15.80,11.33,10.27,5.60
1918,6.57,8.33,8.30,8.97,13.53,14.53,16.57,16.80,14.53,11.23,8.80,9.97
1919,6.95,6.17,7.33,8.47,14.40,15.40,15.33,17.80,16.13,10.83,7.37,9.23
1920,8.23,9.20,9.40,10.23,13.20,15.37,15.30,15.60,15.20,13.93,9.57,7.87
1921,9.77,6.99,8.94,10.02,12.84,15.74,18.93,16.58,17.22,16.39,9.70,9.76
1922,8.26,7.74,7.96,8.90,14.21,14.96,15.21,15.80,14.19,11.32,9.30,8.59
1923,7.59,8.86,8.76,9.81,11.49,13.58,17.34,17.00,14.49,12.66,7.48,8.13
1924,8.12,5.99,8.18,9.08,12.68,15.11,16.24,15.60,15.09,12.90,9.93,8.76
1925,8.46,8.06,7.11,9.79,11.54,16.92,17.00,17.10,14.30,13.67,8.04,7.73
1926,8.28,9.59,8.51,10.54,11.53,13.58,17.28,17.88,17.52,12.84,9.89,7.28
1927,7.72,7.18,8.84,10.08,13.60,14.48,16.32,16.56,14.58,13.42,9.33,5.69
1928,8.57,9.06,8.60,10.07,12.34,14.89,17.26,17.49,16.27,13.36,10.96,7.88
1929,5.05,4.78,8.19,9.08,11.93,14.28,16.88,16.70,17.58,12.61,10.26,9.17
1930,8.93,5.59,8.40,9.86,12.17,15.70,16.34,16.63,16.13,13.52,10.83,8.89
1931,7.79,7.56,7.97,9.70,12.28,15.31,16.00,16.23,14.32,12.84,10.96,7.96
1932,8.57,4.87,7.59,8.91,11.41,15.07,16.50,18.36,16.36,12.73,9.71,7.97
1933,5.84,6.94,9.46,10.23,13.04,15.41,17.54,18.10,16.46,13.41,8.81,4.21
1934,6.86,5.64,7.46,9.23,11.96,15.36,17.80,15.96,15.74,12.79,9.07,10.50
1935,7.39,7.90,7.77,9.73,11.16,14.59,16.89,17.09,15.94,12.39,9.74,7.56
1936,8.56,6.81,9.50,9.14,12.16,14.50,15.71,17.21,16.46,12.26,9.07,8.21
1937,8.51,9.21,7.26,10.67,12.81,15.07,16.69,17.51,15.71,13.46,9.49,7.61
1938,8.43,6.89,10.06,9.51,11.90,14.91,15.00,16.70,14.90,13.40,12.20,8.00
1939,8.70,8.30,8.20,,,,,,,,,
1942,,,,,,,,17.10,15.70,14.20,10.50,10.90
1943,10.20,9.40,10.40,12.20,,,18.10,17.40,16.00,13.90,10.90,8.90
1944,9.80,7.40,8.70,11.20,11.40,,,,,,,
1945,3.30,8.60,7.90,11.60,12.70,14.40,16.10,16.20,15.50,13.60,9.10,8.10
1946,4.80,8.00,7.85,10.70,11.65,13.10,16.10,15.50,15.25,12.85,10.90,6.70
1947,4.75,3.60,8.15,10.35,12.85,15.25,16.60,18.70,16.55,13.05,11.35,8.15
1948,8.56,6.48,11.22,10.10,12.80,14.24,15.62,16.34,15.08,12.68,10.44,7.74
1949,8.29,8.11,8.50,11.13,11.46,15.30,17.74,17.99,17.89,14.06,9.10,7.95
